Wavelength (nm),Exp.
650.0,0.0102973
649.8,0.0104663
649.6,0.0105522
649.4,0.0107181
649.2,0.010806
649.0,0.0107962
648.8,0.0108403
648.6,0.0106268
648.4,0.0103668
648.2,0.0101388
648.0,0.00996947
647.8,0.0098263
647.6,0.00964797
647.4,0.00939667
647.2,0.00902534
647.0,0.00887764
646.8,0.00878286
646.6,0.00863659
646.4,0.00846636
646.2,0.00826919
646.0,0.00798416
645.8,0.00777352
645.6,0.00762701
645.4,0.00739002
645.2,0.00728118
645.0,0.00722098
644.8,0.00713599
644.6,0.00703323
644.4,0.00685441
644.2,0.00674355
644.0,0.00656497
643.8,0.00645816
643.6,0.0062294
643.4,0.00603282
643.2,0.00600386
643.0,0.00595784
642.8,0.00595689
642.6,0.00588942
642.4,0.00576949
642.2,0.00568724
642.0,0.00570297
641.8,0.00574863
641.6,0.00565672
641.4,0.00561941
641.2,0.00555241
641.0,0.00550199
640.8,0.00548339
640.6,0.00551605
640.4,0.00552392
640.2,0.00550377
640.0,0.00541604
639.8,0.00540626
639.6,0.00550473
639.4,0.0055263
639.2,0.00561464
639.0,0.00564158
638.8,0.00571728
638.6,0.00565672
638.4,0.00562119
638.2,0.00572681
638.0,0.00581455
637.8,0.00587773
637.6,0.00589323
637.4,0.00609231
637.2,0.00628126
637.0,0.00634384
636.8,0.0064702
636.6,0.00662625
636.4,0.00659096
636.2,0.00651705
636.0,0.00648582
635.8,0.00649321
635.6,0.00658703
635.4,0.00659835
635.2,0.00663662
635.0,0.00663435
634.8,0.00662148
634.6,0.00667357
634.4,0.00677884
634.2,0.00692546
634.0,0.00680137
633.8,0.00669253
633.6,0.00678718
633.4,0.00684392
633.2,0.00703645
633.0,0.00729811
632.8,0.00728023
632.6,0.00734174
632.4,0.00738358
632.2,0.00749588
632.0,0.0075146
631.8,0.00760281
631.6,0.00773752
631.4,0.00778878
631.2,0.00768161
631.0,0.00750113
630.8,0.00740135
630.6,0.00736403
630.4,0.0071938
630.2,0.00701773
630.0,0.00688243
629.8,0.00658894
629.6,0.00633752
629.4,0.00625157
629.2,0.00610101
629.0,0.00592983
628.8,0.00559068
628.6,0.00538445
628.4,0.00524545
628.2,0.00511289
628.0,0.00500429
627.8,0.0049361
627.6,0.00494742
627.4,0.00492942
627.2,0.00493848
627.0,0.00505722
626.8,0.00511718
626.6,0.00520253
626.4,0.00529563
626.2,0.00535071
626.0,0.00547576
625.8,0.0056591
625.6,0.0057615
625.4,0.00594199
625.2,0.00625801
625.0,0.0064435
624.8,0.00655043
624.6,0.00666726
624.4,0.00688767
624.2,0.00716019
624.0,0.00747597
623.8,0.00776029
623.6,0.007972
623.4,0.00816512
623.2,0.00826836
623.0,0.00841391
622.8,0.00863254
622.6,0.00883734
622.4,0.00897729
622.2,0.00919449
622.0,0.00943172
621.8,0.00951934
621.6,0.00966179
621.4,0.0098139
621.2,0.0100033
621.0,0.0101067
620.8,0.0101478
620.6,0.0101227
620.4,0.0100639
620.2,0.0100496
620.0,0.0100055
619.8,0.00997531
619.6,0.0100697
619.4,0.010085
619.2,0.0100719
619.0,0.0101802
618.8,0.0102015
618.6,0.0101603
618.4,0.0101746
618.2,0.0101658
618.0,0.0101562
617.8,0.0100712
617.6,0.0099597
617.4,0.00987673
617.2,0.00987577
617.0,0.00997865
616.8,0.0101557
616.6,0.0103006
616.4,0.0104171
616.2,0.0104558
616.0,0.0105205
615.8,0.0105522
615.6,0.0104228
615.4,0.0103542
615.2,0.0104632
615.0,0.0105819
614.8,0.0106801
614.6,0.0107679
614.4,0.0110071
614.2,0.0112283
614.0,0.011348
613.8,0.0114094
613.6,0.0114466
613.4,0.0114087
613.2,0.0113912
613.0,0.011484
612.8,0.0115063
612.6,0.0114369
612.4,0.0114001
612.2,0.0115188
612.0,0.0115203
611.8,0.01134
611.6,0.0111778
611.4,0.0111952
611.2,0.0111314
611.0,0.011065
610.8,0.0109321
610.6,0.0108736
610.4,0.0108294
610.2,0.010763
610.0,0.0106726
609.8,0.0106772
609.6,0.0107183
609.4,0.0106899
609.2,0.0107307
609.0,0.0107584
608.8,0.0106992
608.6,0.0107044
608.4,0.0107775
608.2,0.0107874
608.0,0.0106212
607.8,0.0106076
607.6,0.010496
607.4,0.010473
607.2,0.0105443
607.0,0.0104903
606.8,0.0104564
606.6,0.0104476
606.4,0.0104002
606.2,0.0101994
606.0,0.0100132
605.8,0.00992346
605.6,0.00984955
605.4,0.00982261
605.2,0.00970674
605.0,0.00968802
604.8,0.00983477
604.6,0.0100687
604.4,0.0102668
604.2,0.0102965
604.0,0.0103128
603.8,0.0101451
603.6,0.0101533
603.4,0.0103379
603.2,0.0104212
603.0,0.0103791
602.8,0.0103278
602.6,0.0103661
602.4,0.0104253
602.2,0.0105369
602.0,0.0105168
601.8,0.0105135
601.6,0.0104845
601.4,0.0103114
601.2,0.00999606
601.0,0.00971961
600.8,0.00956511
600.6,0.00947225
600.4,0.00949502
600.2,0.00948036
600.0,0.00919771
599.8,0.0091188
599.6,0.00903606
599.4,0.00893664
599.2,0.00891149
599.0,0.008883
598.8,0.00875175
598.6,0.00868464
598.4,0.00862181
598.2,0.00846672
598.0,0.00847995
597.8,0.00853574
597.6,0.00860405
597.4,0.00854087
597.2,0.00847208
597.0,0.00835192
596.8,0.00838125
596.6,0.00864875
596.4,0.00870025
596.2,0.00870597
596.0,0.00882804
595.8,0.00891614
595.6,0.00898159
595.4,0.00904787
595.2,0.00900292
595.0,0.00892317
594.8,0.00901818
594.6,0.00900745
594.4,0.00919449
594.2,0.00925553
594.0,0.00937176
593.8,0.0094074
593.6,0.00945246
593.4,0.00944865
593.2,0.00927711
593.0,0.00912082
592.8,0.00912464
592.6,0.00907218
592.4,0.00900722
592.2,0.00910759
592.0,0.00915802
591.8,0.00927997
591.6,0.00950515
591.4,0.00959456
591.2,0.0096575
591.0,0.00945425
590.8,0.00938976
590.6,0.00947225
590.4,0.00964224
590.2,0.00974917
590.0,0.00984144
589.8,0.00992668
589.6,0.0100187
589.4,0.0101109
589.2,0.0101938
589.0,0.0102254
588.8,0.0101016
588.6,0.0100914
588.4,0.0101445
588.2,0.0101433
588.0,0.0102054
587.8,0.0101906
587.6,0.010239
587.4,0.0105804
587.2,0.010693
587.0,0.0107106
586.8,0.0108221
586.6,0.0108311
586.4,0.0109556
586.2,0.0110075
586.0,0.0113286
585.8,0.0114769
